Competition,Team,EventId,Player,Event,WGCFType,Mins,Secs,X,Y,X2,Y2,Opponent
BPL Semi Pro 2021,Expose,1,Cece,Assist,Progressive,0,0,97,75,94,50,BJB FC
BPL Semi Pro 2021,Expose,2,Tri,Goal,Progressive,0,0,93,51,99,52,BJB FC
BPL Semi Pro 2021,Expose,3,M. Fikri,Assist,Progressive,0,0,97,18,85,49,BJB FC
BPL Semi Pro 2021,Expose,4,Anggara,Goal,Progressive,0,0,83,55,97,57,BJB FC
BPL Semi Pro 2021,Expose,5,Cece,Assist,Cut Back,0,0,99,66,86,49,BJB FC
BPL Semi Pro 2021,Expose,6,Anggara,Goal,Cut Back,0,0,85,50,99,61,BJB FC
BPL Semi Pro 2021,Expose,7,Tri,Assist,Normal,0,23,76,52,68,50,BJB FC
BPL Semi Pro 2021,Expose,8,Anggara,Goal,Normal,0,23,68,49,98,57,BJB FC
BPL Semi Pro 2021,Expose,9,Anggara,Assist,Long Pass,0,0,34,36,76,72,World Young United
BPL Semi Pro 2021,Expose,10,Jiban,Goal,Long Pass,0,0,78,68,98,55,World Young United
BPL Semi Pro 2021,Expose,11,M. Fikri,Assist,Crossing,0,0,82,92,92,38,World Young United
BPL Semi Pro 2021,Expose,12,Budi,Goal,Crossing,0,0,91,37,100,55,World Young United
BPL Semi Pro 2021,Expose,13,Jiban,Assist,Normal,0,0,83,67,79,51,World Young United
BPL Semi Pro 2021,Expose,14,Anggara,Goal,Normal,0,0,79,54,99,43,World Young United
BPL Semi Pro 2021,Expose,15,Budi,Goal,Normal,0,0,89,41,100,44,World Young United
BPL Semi Pro 2021,Expose,16,Pogba,Assist,Normal,0,0,82,23,80,40,World Young United
BPL Semi Pro 2021,Expose,17,Anggara,Goal,Normal,0,0,82,38,99,44,World Young United
BPL Semi Pro 2021,Expose,18,Anggara,Goal,Penalty,0,0,88,49,99,41,Besi Tua
BPL Semi Pro 2021,Expose,19,Anggara,Goal,Set Piece,0,0,78,19,99,58,Besi Tua
BPL Semi Pro 2021,Expose,20,Anggara,Assist,Set Piece,0,0,74,76,95,40,Adios
BPL Semi Pro 2021,Expose,21,Jiban,Goal,Set Piece,0,0,93,35,99,43,Adios
